,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BurntSushi/toml,1.3.2,Direct Dependency,"(MIT License AND BSD 2-clause ""Simplified"" License AND Creative Commons Attribution 3.0 AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,NOT_REVIEWED,999f5c44-828a-4f2c-8a17-9b5fd22f3beb,64f166d7-1e91-4f82-b2f8-0083421e18e9,"3d238144-44e6-450e-b523-3defbdaed9dc,cc875133-df38-4806-9921-473e0ef01a87,ad705c59-6893-4980-bdbf-0837f1823cc4,6958c970-4ceb-419e-8316-206151b9714a"
1,CloudyKit/fastprinter,20200109-snapshot-33d98a06,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4cc6f6ea-2751-45ce-895a-1f46b949cc1b,a58ae62a-ce8b-47ae-bd11-40ac6072c442,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Go Testify,v1.11.1,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5271cd46-d193-4af5-b2c2-50a07751f580,c42f85e0-6129-469d-9469-b152982010c2,ad705c59-6893-4980-bdbf-0837f1823cc4
3,Go programming language,1.21.13,Manually Added,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,6d055c2b-f7d7-45ab-a6b3-021617efd61b,a5a3c283-c019-4bf4-b602-c80b7bc7c547,3d238144-44e6-450e-b523-3defbdaed9dc
4,GoDoc Text,v0.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,ad705c59-6893-4980-bdbf-0837f1823cc4
5,Golang Protobuf,1.36.6,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,cff7cf34-3765-4ce5-89db-36b3f9e6e880,3d238144-44e6-450e-b523-3defbdaed9dc
6,Golang Protobuf,v1.5.4,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,587ad155-8a4a-421d-bab4-c08687b09136,3d238144-44e6-450e-b523-3defbdaed9dc
7,GoogleCloudPlatform/opentelemetry-operations-go,detectors/gcp/v1.26.0,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f40d086c-df23-490a-90c3-5749af956f63,844df2e5-466d-467d-8463-34fe35f06b95,7cae335f-1193-421e-92f1-8802b4243e93
8,Googleuuid,v1.6.0,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,54fe5fe0-f88f-4c83-988d-59e9fc584133,1a0a8d11-0a35-4597-bf9b-a72841b742b2,3d238144-44e6-450e-b523-3defbdaed9dc
9,Kunde21/markdownfmt,v3.1.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,647ca26b-b5e2-4b2b-8fc4-34d7debd89a3,1b17fab5-b339-487a-bee2-45c0a4b988a0,ad705c59-6893-4980-bdbf-0837f1823cc4
10,Masterminds-semver,v3.2.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,22cb36e9-4d4c-46ed-a4b0-979b770b16df,e218bda9-271c-4521-8726-d754d3ffbe3b,ad705c59-6893-4980-bdbf-0837f1823cc4
11,Masterminds/goutils,v1.1.1,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,bc4fd040-8bc8-4052-bcf6-51a0f3792d37,4d2b8af3-fa31-46f9-ac7c-6d0dc27ee035,7cae335f-1193-421e-92f1-8802b4243e93
12,Masterminds/sprig,v3.2.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5f58c886-f02b-4e8d-a48e-6c0d0aac70d5,4d660ced-ce45-44fb-89c6-14ff353c257d,ad705c59-6893-4980-bdbf-0837f1823cc4
13,Microsoft-go-winio,v0.6.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e94932a8-acd0-4201-8c1d-8d0a669da04a,10367c57-0f4e-4140-a18b-7bafc11dffc6,ad705c59-6893-4980-bdbf-0837f1823cc4
14,ProtonMail/go-crypto,1.1.6,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,54fadf9f-49e0-49ac-af60-268d15b33129,6259713e-9729-40b6-9213-ba816fb8e059,3d238144-44e6-450e-b523-3defbdaed9dc
15,RaveNoX/go-jsoncommentstrip,v1.0.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4cc657c4-fcc3-4676-88fe-560f5bd52525,36ab328d-412a-4476-9a0e-34c85a40e6aa,ad705c59-6893-4980-bdbf-0837f1823cc4
16,Shopify/goreferrer,20220729-snapshot-8cddb4f5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,b7d975b2-6797-4035-878b-46cbcfc2add0,1e539c08-e712-4e15-b55b-d201ba5c3bb6,ad705c59-6893-4980-bdbf-0837f1823cc4
17,Sirupsen/logrus,v1.8.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,09a16956-5919-44dd-abfe-26c959332650,37320011-b308-492c-a40c-6fcaa91fd624,ad705c59-6893-4980-bdbf-0837f1823cc4
18,andybalholm/brotli,v1.0.5,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,17df341f-3845-4240-8bc3-ce7887647452,e5fa0458-d3c1-4272-8fde-c7ba81321967,ad705c59-6893-4980-bdbf-0837f1823cc4
