,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,Azure/go-ntlmssp,20200615-snapshot-66371956,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4eef7d45-4ec1-4544-9033-b1a75bc8fb8d,913f658c-ad16-410b-8629-6183c7796dec,ad705c59-6893-4980-bdbf-0837f1823cc4
1,DataDog-datadog-go,v3.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,ff1c9603-2cde-49ab-8455-8eb22bacecad,6a0a1b84-fce5-4690-af65-9c0657c75fa0,ad705c59-6893-4980-bdbf-0837f1823cc4
2,Go CLI,v1.0.0,Transitive Dependency,Mozilla Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,a9c14d98-0749-4c91-9a13-6ebc5f0c8c94,b5f084c1-94c8-4448-839d-48189a76a57d,ce3dd63e-c569-4cea-986a-46bc5efe9896
3,Go Logrus,v1.9.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,09a16956-5919-44dd-abfe-26c959332650,78243c1f-b09c-4393-933e-1f339c287ed2,ad705c59-6893-4980-bdbf-0837f1823cc4
4,Go Testify,v1.8.2,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,5271cd46-d193-4af5-b2c2-50a07751f580,ea2b6b14-e201-43de-90e4-345fc56cffc7,ad705c59-6893-4980-bdbf-0837f1823cc4
5,GoDoc Text,v0.2.0,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,fcf8903b-ac17-4a21-a3ed-d12e6e709e40,f5727975-0297-4fdb-9d68-a5d2085e1a0f,ad705c59-6893-4980-bdbf-0837f1823cc4
6,Golang Protobuf,v1.28.1,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,1bb048ed-68a5-4993-89df-bf889555a2c2,3d238144-44e6-450e-b523-3defbdaed9dc
7,Golang Protobuf,v1.5.3,Transitive Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,faa9ce60-ee56-4f4a-b55c-b33fae6c61f4,11c35550-ff12-4016-947f-6da240580d40,3d238144-44e6-450e-b523-3defbdaed9dc
8,Microsoft-go-winio,v0.6.1,Transitive Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,e94932a8-acd0-4201-8c1d-8d0a669da04a,366f30b8-0df2-4073-b2d8-a44c336301a8,ad705c59-6893-4980-bdbf-0837f1823cc4
9,OpenCensus,v0.4.1,Transitive Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,f05607e4-f8ed-4bf9-94aa-d8e611cfc252,398bbdad-843c-4a4b-899f-9c1bc70ce3ec,7cae335f-1193-421e-92f1-8802b4243e93
10,Vault by HashiCorp,api/v1.9.1,Transitive Dependency,Mozilla Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,67ca6ae2-63e9-4e4a-8973-26b1e1592521,3390f776-15ad-4f75-8d77-d5620c5f2d5d,ce3dd63e-c569-4cea-986a-46bc5efe9896
11,Vault by HashiCorp,sdk/v0.9.2,Direct Dependency,Mozilla Public License 2.0,WEAK_RECIPROCAL,NOT_REVIEWED,67ca6ae2-63e9-4e4a-8973-26b1e1592521,1c4d37c3-cf64-40ea-862d-2d25aaaf2738,ce3dd63e-c569-4cea-986a-46bc5efe9896
