,Component name,Component version name,Match type,License names,License families,Review Status,Component id,Version id,License ids
0,BeautifulSoup4,4.12.3,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,00753dee-acf9-4b1c-b421-f02af03bd165,380c6571-73bb-48df-bc8a-f5d5e3e315e0,ad705c59-6893-4980-bdbf-0837f1823cc4
1,Click - Python Command Line Utility,8.1.7,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,2f38bee1-f48f-4c9a-a158-da96fcedbcc2,c2361503-90b0-4766-bcaf-efa7e5793e54,3d238144-44e6-450e-b523-3defbdaed9dc
2,Cycler,0.12.1,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,311e84f1-7347-4903-b90d-543b38e935fe,a1e55cc9-6e37-453b-bdac-edebb217429b,3d238144-44e6-450e-b523-3defbdaed9dc
3,Deprecated,1.2.14,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,a0c317a8-2e29-484d-b919-3e490c730edb,8ba1d151-aa27-4f74-959a-79d2c778517a,ad705c59-6893-4980-bdbf-0837f1823cc4
4,FlatBuffers,24.3.25,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,ae906881-37fd-4af4-8fe7-e435fd2056af,ea42da12-a79c-4daf-a2fd-3290fee26c5c,7cae335f-1193-421e-92f1-8802b4243e93
5,Jinja,3.1.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,ae1b8ed0-430e-4b18-b6db-eaf04d774633,98c71400-c8bd-4723-8982-3aef8badc9d2,3d238144-44e6-450e-b523-3defbdaed9dc
6,MarkupSafe,2.1.5,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,163828a2-cf12-4b17-85e1-af89c69e83de,b864bc1b-9518-4c29-9e5f-223b58f809b1,3d238144-44e6-450e-b523-3defbdaed9dc
7,NetworkX,3.3,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,e9d27ea7-6b2f-4737-8e26-e9029399446e,3604bd29-1b5e-41c1-aa17-5923bb97e0f6,3d238144-44e6-450e-b523-3defbdaed9dc
8,NumPy,1.26.4,Direct Dependency,"BSD 3-clause ""New"" or ""Revised"" License",PERMISSIVE,NOT_REVIEWED,4f899c74-a646-4687-a056-3bbcc16bdb04,3c53bb1a-f1ad-4f37-9f56-e59f0e9ef333,3d238144-44e6-450e-b523-3defbdaed9dc
9,Packaging,24.1,Direct Dependency,"(Apache License 2.0 AND BSD 3-clause ""New"" or ""Revised"" License)",PERMISSIVE,NOT_REVIEWED,935f693d-59c4-447b-ac88-fd2efc476368,3d809112-ad1e-4ba6-a7df-585288535007,"3d238144-44e6-450e-b523-3defbdaed9dc,7cae335f-1193-421e-92f1-8802b4243e93"
10,PyTZ - Python Time Zone Library,2024.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,4dffc87b-cf3f-4c12-b770-42054d651aa0,c9c05511-7676-46c3-a7ee-4d6ce969523a,ad705c59-6893-4980-bdbf-0837f1823cc4
11,PyYAML,6.0.2,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,562519b8-c368-4e82-b328-8001f66d8b00,a0b9a124-5e3d-4482-80f4-455f8c61c486,ad705c59-6893-4980-bdbf-0837f1823cc4
12,Pygments - Python syntax highlighter,2.18.0,Direct Dependency,"BSD 2-clause ""Simplified"" License",PERMISSIVE,NOT_REVIEWED,60d59a36-7623-422e-80f0-d43da6d673d3,e64460f5-536a-464b-a672-d57ed200a68e,cc875133-df38-4806-9921-473e0ef01a87
13,Pyparsing,3.1.4,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,756ad987-ba96-42f6-aa31-743b491805cd,9ffdab0c-caa8-44f6-a992-d65b8d526c09,ad705c59-6893-4980-bdbf-0837f1823cc4
14,Python six,1.16.0,Direct Dependency,MIT License,PERMISSIVE,NOT_REVIEWED,69184346-b974-4064-88a3-134a17f6bbb5,3592d706-e448-4e4b-b772-303927081f32,ad705c59-6893-4980-bdbf-0837f1823cc4
15,Python tzdata,2024.2,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,1b0fab32-a8d3-4bdb-8696-e512435d855f,47ae95e7-22cf-4bad-8a95-cb6a08bcd6cf,7cae335f-1193-421e-92f1-8802b4243e93
16,Python-RSA,4.9,Direct Dependency,Apache License 2.0,PERMISSIVE,NOT_REVIEWED,a4334b23-16a9-4e42-80af-d09081314be2,3ce346bb-b0b0-482d-b914-3db74210398e,7cae335f-1193-421e-92f1-8802b4243e93
